Лекарь. Книга четвертая;Андрей Первухин;Обычно попаданцы отправляются в другие миры. Это вполне понятно, потому что не на Земле есть магия или технологии, позволяющие перемещаться между параллельными мирами. Однако иногда случается так, что...;4.51 (134)
Магическая таверна;Татьяна Мещёрская;Расставание с любимым человеком всегда болезненно. Особенно тяжело его переживают женщины, потому что терпеть не могут предательства. Ну, по крайней мере, некоторые из них. Главная героиня романа...;3.99 (141)
Лекарь Книга третья;Андрей Первухин;Магия – это сила в магическом мире. А как маг поведёт себя в нашем мире? Неужели древние заклинания окажутся сильнее пули? Это проверил на себе главный герой книги Андрея Первухина «Лекарь Книга...;4.64 (97)
Свалка;Петракеев Андрей Алексеевич;Получать наследство – процесс приятный. Однако многое зависит от того, что досталось наследнику. А что, если это – свалка? И не просто банальная свалка, каких множество, а целая планета? Главному...;4.22 (375)
Мертвые души;Гоголь Николай Васильевич;«Мертвые души» Николая Гоголя – яркое литературное произведение, которое занимает достойное место в русской классике. Писатель хотел продолжить его, но получилось так, что у читателя есть возможность...;3.9 (16666)
Выброшенный в другой мир - книга 1;Ищенко Геннадий;Перемещение в другие миры на сегодняшний день невозможно. По крайней мере, люди так думают. При этом в космосе вполне могут существовать и более развитые разумные расы, для которых мнение каких-то там...;4.1 (164)
Пока муж в командировке;Тихонова Карина;Семейная жизнь – вещь сложная. Иногда в ней случаются весьма странные происшествия. В некоторых случаях они могут даже привести к преступлению. Главная героиня книги Карины Тихоновой «Пока муж в...;4.43 (156)
Начало;Лео Андрей;Все знают, что употребление алкоголя может не привести ни к чему хорошему, но не все могут отказаться от него. А ведь последствия от этого могут быть не только для здоровья. Главный герой книги Андрея...;4.5 (179)
"Фантастический цикл ""Помещик"". Компиляция. Книги 1-8";Ланцов Михаил Алексеевич;Человек может жить обычной жизнью, и в один прекрасный момент потерять всё. Но ему может быть предоставлен шанс прожить вторую жизнь. Как в таком случае он распорядится им? Главный герой...;3.97 (216)
Берсерк. Подмена;Евгений Алексеевич Гришаев;Наука в современном мире играет очень большую роль. Почти всё то, что имеет человечество, было создано наукой. Однако учёные – это обычные люди, и они тоже могут ошибаться. Главный герой книги Евгения...;3.65 (861)
Судьба или выбор;Кулик Елена Николаевна;Роман Елены Кулик «Судьба или выбор» является одним из тех произведений, с которыми можно скоротать время в пути или расслабиться вечером после трудного дня. Фэнтезийные герои описаны очень ярко, они...;4.18 (1013)
По прозвищу Малюта;Берг Александр;Великая Отечественная война давным-давно закончилась. При этом и в наши дни существует множество людей, которые хотели бы попасть в то время. Многие из них хотели бы изменить историю и оказать помощь...;4.16 (137)
Атон. Трилогия;Евгений Алексеевич Гришаев;Делать добрые дела правильно и необходимо. Однако даже доброе дело может привести к непредсказуемым результатам. И тогда жизнь того человека, который совершил доброе дело, может резко измениться....;4.6 (488)
"Цикл романов ""Эвакуатор"". Компиляция. Книги 1-7";Иван Шаман;Окружающий нас мир привычен нам. Многие люди даже думают, что он будет существовать вечно. Однако всё может измениться в любой момент. Именно это случилось в цикле романов Ивана Шамана «Эвакуатор»....;4.54 (83)
Другой мир: преемник древних;Городецкий Иван;Прожить несколько лет в другом мире может не каждый попаданец. Там иные правила и критерии успешности. Кому-то это удаётся, и он превращается из инвалида-неудачника в любимца всех женщин, а кому-то...;4.55 (848)
"""Бедный родственник + АГ"". Конпиляция. Книги 1-11";Никонов Андрей;Некоторые книги настолько захватывают читателей, что они хотели бы всегда их иметь под рукой. К сожалению, часто бывает так, что сделать это невозможно. Однако безвыходных ситуаций нет. Этот факт...;4.05 (37)
Честь и кровь;Трофимов Ерофей;Быть инвалидом для настоящего воина очень тяжело. Только что был полон сил и никого не боялся, а теперь ты – лишь жалкое подобие себя самого. Так что, если выпадает шанс прожить новую жизнь, пусть и в...;4.21 (105)
Охотник Дарт. Тетралогия;Буревой Андрей;От былых эпох часто остаются весьма ценные артефакты. Они могут сделать человека богатым или же наделить его знаниями древних. Но только настоящий искатель может найти их и поставить себе на службу. О...;4.54 (1198)
Ты жена мне, помнишь?;Островская Ольга;Оказаться в другом мире мечтают далеко не все. Многие люди вполне довольны и нашим миром, поэтому покинуть его не стремятся. Однако иногда происходит так, что в другие миры они перемещаются и без их...;4.72 (326)
Попал, так попал. Гексалогия;Кочуров Андрей Игоревич;Произведение «Попал, так попал. Гексалогия» Кочурова Андрея относится к жанрам фэнтези, попаданцы, альтернативная история. Эта серия из 6 книг, в которой герой попадает в совершенно незнакомый ему...;3.73 (1112)
Весь Чейз Джеймс Хэдли в одном томе;Чейз Джеймс Хедли;Большинству читателей, поклонников литературного таланта какого-то конкретного писателя хочется, чтобы его книги всегда были с ними. К сожалению, это возможно далеко не всегда. В этом случае на помощь...;3.36 (74)
Волшебник;Земляной Андрей Борисович;Советский Союз был одним самых великих государств в истории человечества. К сожалению для многих, он распался. Его развал стал трагедией для его граждан. Главный герой книги Андрея Земляного...;4.52 (79)
След убийства;Блейк Пирс;Можно быть успешным полицейским детективом и не раскрыть преступления, совершённого против твоего же собственного ребёнка. В этом случае на такого сотрудника полиции налагается двойная нагрузка. Ему...;3.89 (226)
Боец с планеты Земля;Владимир Тимофеев;Никогда не нужно переоценивать свои возможности. Даже чемпион мира по самбо, если он не трезв, вполне может быть избит толпой обыкновенных хулиганов. Эта аксиома, к сожалению, не доходит до многих...;4.39 (314)
Идиот;Достоевский Федор Михайлович;Трудно найти того, кто не слышал бы о романе Федора Михайловича Достоевского «Идиот». Это произведение известно не только в России, но и во многих других странах, его неоднократно экранизировали, по...;4.47 (16051)
Выброшенный в другой мир - книга 2;Ищенко Геннадий;Человечество не знает, одиноко ли оно во Вселенной. Поэтому вполне возможно, что в космосе размещены базы и других разумных рас. Встреча с ними может преподнести множество сюрпризов землянам. Один из...;4.47 (81)
Берсерк Том второй Охота на охотника;Евгений Алексеевич Гришаев;В истории человечества было много великих воинов. Некоторые из них были столь неистовы в бою, что заслужили особую славу. Их боялись и уважали даже самые отчаянные головорезы. Таким воином, благодаря...;4.54 (475)
"""Пожиратель"". Компиляция. Книги 1-13";Муравьев Константин Николаевич;Стать обладателем необычного дара и получить сверхспособности. Разве это не та мечта, ради которой стоит пойти на все? Возможно, если она осознана, а что делать, если человек стал обладателем такого...;4.08 (48)
Подкидыш;Алёна Бахтеева;Хотеть иметь ребенка – это естественное желание многих женщин. К сожалению, далеко не у всех это желание сбывается. Тут во многом стоит надеяться на случай. А вот главная героиня книги Алёны Бахтеевой...;4.71 (136)
Герой нашего времени;Лермонтов Михаил Юрьевич;Роман Михаила Лермонтова «Герой нашего времени» лиричен и глубоко психологичен. Тем не менее он достаточно реалистичный. Это книга о Печорине – человеке, отражающем основные черты людей того времени....;4.32 (25197)
Избранное. Компиляция. Книги 1-15;Александр Изотов;Фантастические книги обычно имеют много поклонников. Эти поклонники хотели бы иметь постоянно под рукой произведения любимых авторов, что не всегда просто. Сборник-компиляция Александра Изотова...;4.46 (26)
Видящий маг;Городецкий Иван;Когда тебя все предали, то смерть, вполне возможно, является хорошим выходом из сложившейся ситуации. Но жизнью и смертью своей человек не распоряжается. Все в руках высших сил, которые могут дать ему...;4.54 (457)
Ученик;Дравин Игорь;Алкоголь сгубил множество талантливых людей, которые стали не нужны в нашем мире. Но если они не нужны на Земле, то, может быть, они пригодятся где-то ещё? Это интересная идея для создания...;4.02 (307)
Граф Монте-Кристо;Александр Дюма;Роман Александра Дюма «Граф Монте-Кристо» считается одним из самых ярких произведений писателя, его без сомнений можно назвать литературным шедевром. Это произведение переносит читателей во Францию...;4.62 (14254)
Лекарь;Андрей Первухин;Обычно путешественники по параллельным мирам отправляются с Земли в другие миры. Однако иногда бывает и наоборот. В этом случае ещё неизвестно, кому будет тяжелее в новом для него мире. Главный герой...;3.88 (307)
Девушка: В одиночку;Блейк Пирс;Чтобы поймать серийного убийцу, нужно думать, как он. Эту нехитрую истину, к сожалению, иногда забывают даже опытные сыщики. А ведь, если ей следовать, можно ловить даже самых опасных и хитрых...;3.52 (1030)
Мастер и Маргарита;Булгаков Михаил Афанасьевич;Роман Михаила Булгакова «Мастер и Маргарита» - одно из величайших произведений русской литературы 20 века. Он очень многогранен, его можно неоднократно перечитывать, каждый раз находя новый смысл. Это...;4.57 (57652)
Преступление и наказание;Достоевский Федор Михайлович;На что способен человек в момент отчаяния, когда нужно срочно искать выход из сложившегося положения? Насколько сильно он готов жертвовать собой? Где грань между величием и ничтожеством? Эти и многие...;4.34 (33245)
Лекарь. Книга вторая;Андрей Первухин;Многим кажется, что маг в нашем мире был бы всемогущим. Но и у него могут быть свои слабые стороны. Так что и маг-попаданец вполне может стать мишенью для врагов. Именно это случилось с главным героем...;4.41 (132)
Путешествия Души;Ньютон Майкл;Жизнь после смерти, судьба человека в потустороннем мире, его душа – эти вопросы волновали человечество во все времена. Ответить на них пытались выдающиеся философы и религиозные деятели. К сожалению,...;4.37 (1022)
Лекарь. Книга четвертая;Андрей Первухин;Обычно попаданцы отправляются в другие миры. Это вполне понятно, потому что не на Земле есть магия или технологии, позволяющие перемещаться между параллельными мирами. Однако иногда случается так, что...;4.51 (134)
Магическая таверна;Татьяна Мещёрская;Расставание с любимым человеком всегда болезненно. Особенно тяжело его переживают женщины, потому что терпеть не могут предательства. Ну, по крайней мере, некоторые из них. Главная героиня романа...;3.99 (141)
Лекарь Книга третья;Андрей Первухин;Магия – это сила в магическом мире. А как маг поведёт себя в нашем мире? Неужели древние заклинания окажутся сильнее пули? Это проверил на себе главный герой книги Андрея Первухина «Лекарь Книга...;4.64 (97)
Свалка;Петракеев Андрей Алексеевич;Получать наследство – процесс приятный. Однако многое зависит от того, что досталось наследнику. А что, если это – свалка? И не просто банальная свалка, каких множество, а целая планета? Главному...;4.22 (375)
Мертвые души;Гоголь Николай Васильевич;«Мертвые души» Николая Гоголя – яркое литературное произведение, которое занимает достойное место в русской классике. Писатель хотел продолжить его, но получилось так, что у читателя есть возможность...;3.9 (16666)
Выброшенный в другой мир - книга 1;Ищенко Геннадий;Перемещение в другие миры на сегодняшний день невозможно. По крайней мере, люди так думают. При этом в космосе вполне могут существовать и более развитые разумные расы, для которых мнение каких-то там...;4.1 (164)
Пока муж в командировке;Тихонова Карина;Семейная жизнь – вещь сложная. Иногда в ней случаются весьма странные происшествия. В некоторых случаях они могут даже привести к преступлению. Главная героиня книги Карины Тихоновой «Пока муж в...;4.43 (156)
Начало;Лео Андрей;Все знают, что употребление алкоголя может не привести ни к чему хорошему, но не все могут отказаться от него. А ведь последствия от этого могут быть не только для здоровья. Главный герой книги Андрея...;4.5 (179)
"Фантастический цикл ""Помещик"". Компиляция. Книги 1-8";Ланцов Михаил Алексеевич;Человек может жить обычной жизнью, и в один прекрасный момент потерять всё. Но ему может быть предоставлен шанс прожить вторую жизнь. Как в таком случае он распорядится им? Главный герой...;3.97 (216)
Берсерк. Подмена;Евгений Алексеевич Гришаев;Наука в современном мире играет очень большую роль. Почти всё то, что имеет человечество, было создано наукой. Однако учёные – это обычные люди, и они тоже могут ошибаться. Главный герой книги Евгения...;3.65 (861)
Судьба или выбор;Кулик Елена Николаевна;Роман Елены Кулик «Судьба или выбор» является одним из тех произведений, с которыми можно скоротать время в пути или расслабиться вечером после трудного дня. Фэнтезийные герои описаны очень ярко, они...;4.18 (1013)
По прозвищу Малюта;Берг Александр;Великая Отечественная война давным-давно закончилась. При этом и в наши дни существует множество людей, которые хотели бы попасть в то время. Многие из них хотели бы изменить историю и оказать помощь...;4.16 (137)
Атон. Трилогия;Евгений Алексеевич Гришаев;Делать добрые дела правильно и необходимо. Однако даже доброе дело может привести к непредсказуемым результатам. И тогда жизнь того человека, который совершил доброе дело, может резко измениться....;4.6 (488)
"Цикл романов ""Эвакуатор"". Компиляция. Книги 1-7";Иван Шаман;Окружающий нас мир привычен нам. Многие люди даже думают, что он будет существовать вечно. Однако всё может измениться в любой момент. Именно это случилось в цикле романов Ивана Шамана «Эвакуатор»....;4.54 (83)
Другой мир: преемник древних;Городецкий Иван;Прожить несколько лет в другом мире может не каждый попаданец. Там иные правила и критерии успешности. Кому-то это удаётся, и он превращается из инвалида-неудачника в любимца всех женщин, а кому-то...;4.55 (848)
"""Бедный родственник + АГ"". Конпиляция. Книги 1-11";Никонов Андрей;Некоторые книги настолько захватывают читателей, что они хотели бы всегда их иметь под рукой. К сожалению, часто бывает так, что сделать это невозможно. Однако безвыходных ситуаций нет. Этот факт...;4.05 (37)
Честь и кровь;Трофимов Ерофей;Быть инвалидом для настоящего воина очень тяжело. Только что был полон сил и никого не боялся, а теперь ты – лишь жалкое подобие себя самого. Так что, если выпадает шанс прожить новую жизнь, пусть и в...;4.21 (105)
Охотник Дарт. Тетралогия;Буревой Андрей;От былых эпох часто остаются весьма ценные артефакты. Они могут сделать человека богатым или же наделить его знаниями древних. Но только настоящий искатель может найти их и поставить себе на службу. О...;4.54 (1198)
Ты жена мне, помнишь?;Островская Ольга;Оказаться в другом мире мечтают далеко не все. Многие люди вполне довольны и нашим миром, поэтому покинуть его не стремятся. Однако иногда происходит так, что в другие миры они перемещаются и без их...;4.72 (326)
Попал, так попал. Гексалогия;Кочуров Андрей Игоревич;Произведение «Попал, так попал. Гексалогия» Кочурова Андрея относится к жанрам фэнтези, попаданцы, альтернативная история. Эта серия из 6 книг, в которой герой попадает в совершенно незнакомый ему...;3.73 (1112)
Весь Чейз Джеймс Хэдли в одном томе;Чейз Джеймс Хедли;Большинству читателей, поклонников литературного таланта какого-то конкретного писателя хочется, чтобы его книги всегда были с ними. К сожалению, это возможно далеко не всегда. В этом случае на помощь...;3.36 (74)
Волшебник;Земляной Андрей Борисович;Советский Союз был одним самых великих государств в истории человечества. К сожалению для многих, он распался. Его развал стал трагедией для его граждан. Главный герой книги Андрея Земляного...;4.52 (79)
След убийства;Блейк Пирс;Можно быть успешным полицейским детективом и не раскрыть преступления, совершённого против твоего же собственного ребёнка. В этом случае на такого сотрудника полиции налагается двойная нагрузка. Ему...;3.89 (226)
Боец с планеты Земля;Владимир Тимофеев;Никогда не нужно переоценивать свои возможности. Даже чемпион мира по самбо, если он не трезв, вполне может быть избит толпой обыкновенных хулиганов. Эта аксиома, к сожалению, не доходит до многих...;4.39 (314)
Идиот;Достоевский Федор Михайлович;Трудно найти того, кто не слышал бы о романе Федора Михайловича Достоевского «Идиот». Это произведение известно не только в России, но и во многих других странах, его неоднократно экранизировали, по...;4.47 (16051)
Выброшенный в другой мир - книга 2;Ищенко Геннадий;Человечество не знает, одиноко ли оно во Вселенной. Поэтому вполне возможно, что в космосе размещены базы и других разумных рас. Встреча с ними может преподнести множество сюрпризов землянам. Один из...;4.47 (81)
Берсерк Том второй Охота на охотника;Евгений Алексеевич Гришаев;В истории человечества было много великих воинов. Некоторые из них были столь неистовы в бою, что заслужили особую славу. Их боялись и уважали даже самые отчаянные головорезы. Таким воином, благодаря...;4.54 (475)
"""Пожиратель"". Компиляция. Книги 1-13";Муравьев Константин Николаевич;Стать обладателем необычного дара и получить сверхспособности. Разве это не та мечта, ради которой стоит пойти на все? Возможно, если она осознана, а что делать, если человек стал обладателем такого...;4.08 (48)
Подкидыш;Алёна Бахтеева;Хотеть иметь ребенка – это естественное желание многих женщин. К сожалению, далеко не у всех это желание сбывается. Тут во многом стоит надеяться на случай. А вот главная героиня книги Алёны Бахтеевой...;4.71 (136)
Герой нашего времени;Лермонтов Михаил Юрьевич;Роман Михаила Лермонтова «Герой нашего времени» лиричен и глубоко психологичен. Тем не менее он достаточно реалистичный. Это книга о Печорине – человеке, отражающем основные черты людей того времени....;4.32 (25197)
Избранное. Компиляция. Книги 1-15;Александр Изотов;Фантастические книги обычно имеют много поклонников. Эти поклонники хотели бы иметь постоянно под рукой произведения любимых авторов, что не всегда просто. Сборник-компиляция Александра Изотова...;4.46 (26)
Видящий маг;Городецкий Иван;Когда тебя все предали, то смерть, вполне возможно, является хорошим выходом из сложившейся ситуации. Но жизнью и смертью своей человек не распоряжается. Все в руках высших сил, которые могут дать ему...;4.54 (457)
Ученик;Дравин Игорь;Алкоголь сгубил множество талантливых людей, которые стали не нужны в нашем мире. Но если они не нужны на Земле, то, может быть, они пригодятся где-то ещё? Это интересная идея для создания...;4.02 (307)
Граф Монте-Кристо;Александр Дюма;Роман Александра Дюма «Граф Монте-Кристо» считается одним из самых ярких произведений писателя, его без сомнений можно назвать литературным шедевром. Это произведение переносит читателей во Францию...;4.62 (14254)
Белые волки Волара;Евгений Алексеевич Гришаев;Прежде чем дать согласие на участие в научном эксперименте, стоит хорошо подумать. Эксперимент – это обычно мероприятия по исследованию чего-то нового. Именно поэтому они могут привести к весьма...;4.68 (389)
Проклятый;Дмитрук Николай;Преступники всегда пополняли ряды первопроходцев, покорителей новых территорий. Это вполне естественное явление, учитывая, какие опасности могли поджидать пионеров на новых землях. Жизнь же...;4.21 (329)
Кровавая вира;Трофимов Ерофей;Окружающие могут упорно навязывать человеку свое мнение. Если он имеет сильный характер, он сумеет противостоять такому давлению. В результате такой человек сможет достичь поставленной цели. Это...;4.74 (46)
Роман с Любовью;Анна Джейн;Богатый, сильный, уверенный в себе и красивый мужчина – это мечта любой женщины. Однако за воплощение в жизнь такой мечты приходится платить. Такая плата может быть очень высокой. Главная героиня...;4.57 (138)
Магистр дьявольского культа;Мосян Тунсю;Легенды и мифы Востока интересны людям Запада. В них рассказывается об очень интересной и не похожей на жизнь западного человека жизни подданных восточных государей. При этом в таких легендах можно...;4.56 (108)
Назло папе куплю маму;Кристина Юраш;Каждому ребёнку нужна мама. Даже если этот ребёнок – не человек, без мамы ему всё равно будет плохо. Некоторые из детей готовы пойти на всё, лишь бы у него была мама. Главная героиня книги Кристины...;4.64 (295)
Убийство по алфавиту;Агата Кристи Маллован;Фигура знаменитого сыщика привлекает к себе внимание не только журналистов и почитателей его таланта. Преступники тоже следят за его успехами. Некоторые делают это для того, чтобы избежать встречи с...;4.56 (73)
Пересекающиеся параллели;Шульгина Анна;Законы геометрии сложно опровергнуть. Они действуют и имеют доказательства. Но только не в отношениях людей. Тут бывают ситуации, когда происходит то, чего происходить, по идее, не должно....;4.39 (675)
Женское счастье;Туманова Анна;В жизни бывают иногда такие обстоятельства, при которых человек не знает, как ему жить дальше. В этом случае ему на помощь могут прийти высшие силы. А вот, к чему приведёт такое вмешательство, не...;4.47 (1004)
Одинокий Владыка ищет жену. P.S. Можно с ребенком;Ника Фрост;Читать книги – занятие хорошее. Однако, просматривая незнакомую книгу, нужно быть острожным. В противном случае можно оказаться в весьма интересной ситуации. Главная героиня книги Ники Фрост «Одинокий...;4.67 (102)
Новые горизонты;Лео Андрей;Оказался в другом мире или другом времени – не стой на месте, расти. Иначе можно просто отстать от жизни. Если же за ней успевать, можно добиться многого. Это прекрасно знает главный герой книги...;4.53 (47)
Мы;Замятин Евгений Иванович;Можно ли заставить человека забыть о свободе? А может, он и сам о ней забудет, если будет абсолютно счастлив в неволе? И когда такие явления становятся массовыми, мир коренным образом преобразуется....;4.13 (12732)
Циклы романов о Великой отечественной Войне. Компиляция. Книги 1-37;Поселягин Владимир Геннадьевич;Качественная альтернативная история Великой Отечественной войны довольно мало представлена в отечественной фантастической литературе. Произошло это по разным причинам. Одна из них – отсутствие тех...;3.42 (88)
Рейдер;Буянов Андрей;Звезды всегда звали человека к себе. Даже живя в каменном веке, он всегда обращал свой взор в звездное небо. К сожалению, до сих пор человечество не научилось покорять звездные дали, и сделать это оно...;4.07 (561)
Кудесник;Земляной Андрей Борисович;Изменить будущее, оказавшись в прошлом. Этим заняты многие попаданцы. Правда далеко не у всех это получается сделать. У главного героя книги Андрея Земляного «Кудесник» это вышло благодаря не только...;4.61 (56)
Братья Карамазовы;Достоевский Федор Михайлович;Роман Федора Достоевского «Братья Карамазовы» можно без сомнений назвать шедевральным, невероятно глубоким и неоднозначным. В нем столько мыслей, подтекстов, намеков. Его можно читать несколько раз,...;4.53 (9102)
Амалия. Перекроить судьбу;Дант Анна;Во все времена и во всех мирах общество очень строго следило за моральным обликом женщины. Если он подвергался сомнению, на ней ставилось клеймо позора. В результате несчастная становилась...;4.67 (115)
Попаданец;Городецкий Иван;Когда со всех сторон одно предательство и нет возможности жить, лучше действительно умереть. Так считают многие люди в трудной ситуации. Однако не многие предполагают, что их жизнь может начаться...;4.42 (488)
Мужчины любят стерв. Руководство для слишком хороших женщин;Аргов Шерри;Стерва – для многих ругательное слово, однако некоторые женщины сами называют себя так. Делают они это с гордостью, а вот их недоброжелатели произносят его с завистью и ненавистью. Связано это с тем,...;3.96 (164)
Демонический отбор. Захомутать и обезвредить;Татьяна Новикова;Выйти замуж за правителя – чем не мечта для молодой дамы?! Однако есть те представительницы прекрасного пола, которые вовсе этого не желают. Главная героиня книги Татьяны Новиковой «Демонический...;4.69 (132)
Пощады, маэстрина! Том 1;Завойчинская Милена Валерьевна;Проснуться в другом мире и в другом теле, обнаружив рядом с собой корзинку с младенцем – это та ещё ситуация! И как же из неё выйти с честью? Путь в свой мир закрыт, а новый не очень-то благоволит к...;4.82 (148)
Демоническая школа. Уроки выживания;Звездная Елена;Женское фэнтези – это всегда интересно и необычно. А если к этому добавить оригинальный формат, может получиться очень увлекательная книга. Далеко не все мужчины смогут написать такую, а вот женщины в...;4.56 (621)
Портал. Книга 1;Хван Евгений;Путешествовать по другим мирам – это мечта многих. Однако далеко не все люди, раскрыв секрет таких путешествий, могут им правильно распорядиться. Параллельные миры бывают разные, в некоторых нужно...;4.33 (76)
Фантастические циклы романов. Компиляция. Книги 1-11;Мазин Александр Владимирович;Другие миры интересны тем, что в них жизнь течёт по иным законам. Именно поэтому книги о попаданцах очень любят читатели. Они позволяют им почувствовать себя в их роли. Сборник-компиляция...;3.67 (33)
Ученик. Книга третья;Андрей Первухин;Оказался в другом мире – старайся приспособиться к нему. Это простейшая заповедь любого попаданца. В противном случае ему просто не выжить. Её прекрасно знает главный герой книги Андрея Первухина...;4.56 (57)
Странник с планеты Земля;Владимир Тимофеев;Всё таинственное притягивает человека. Такова его природа. Именно из-за неё люди стараются приложить максимум усилий, для того чтобы попытаться эти тайны раскрыть. Не отличается от них в этом...;4.18 (158)
Туман войны;Колентьев Алексей Сергеевич;В Советском Союзе отлично готовили диверсантов. Об этом не понаслышке знают представители многих армий мира. Для советского спецназа невыполнимых задач нет – эта аксиома известна всем солдатам армий...;4.37 (330)
Дождь;Николай Малунов;Книги на тему постапокалипсиса зачастую похожи одна на другую. В результате многие из них становится неинтересно читать. Поэтому, когда автору удаётся написать произведение с необычным сюжетом, оно...;4.23 (340)
Бродяга;Буянов Андрей;Вселенная необъятна, и неизвестно, сколько разумных цивилизаций живет в ней. Некоторые из них вполне могут добраться и до Земли. Что потом будет, зависит только от их намерений, которые земляне,...;4.27 (560)
Студент;Городецкий Иван;Жизнь в другом мире взамен смерти в нашем. Разве это не удача для того, кто в этой жизни только страдал? Вполне возможно, что да, но и в новой жизни необходимо уметь постоять за себя, ведь выпавшим...;4.63 (396)
Жена с татуировкой дракона;Кристина Юраш;Некоторые девушки, когда им не нравится мужчина, начинают притворяться. Они изображают из себя неизвестного кого, лишь бы избежать брака с ним. Однако умной и независимой женщине очень тяжело долгое...;4.48 (136)
Евгений Онегин;Пушкин Александр Сергеевич;Во время обучения в школе изучается много произведений, которые стали шедеврами русской и мировой классики. Однако многие из них при прочтении позднее понимаются иначе, более глубоко осмысливаются....;4.24 (20869)
Кусучий случай, или няня для обреченного;Кристина Юраш;Кошачьи – существа странные и мистические. Казалось бы, просто кошка, а сколько всего интересного можно узнать, если просто принести её в дом. Даже в другом мире можно очутиться, если это существо...;4.75 (201)
Oбещанная демoну. Огненная академия;Элис Айт;Власть и богатство сломали не одну женскую судьбу. Ради обладания ими многие родители торговали и торгуют своими дочерьми, стараясь выдать их за «выгодного» жениха. А что, если сама девушка...;4.52 (634)
Настоящая жена;Маринелли Кэрол;Свадьба – это, пожалуй, самое светлое воспоминание в жизни каждой женщины. Однако так бывает далеко не всегда. Иногда замуж приходится выходить фиктивно. Именно это и произошло с главной героиней...;4.39 (225)
"""Фантастика 2022-10"". Компиляция. Книги 1-12";Анатолий Дроздов;Фантастические книги интересны необычными сюжетами. Именно они привлекают к ним читателей. При этом чем оригинальнее сюжет, тем больше хочется следить за его развитием. Сборник-компиляция «Фантастика...;3.74 (19)
Герцогиня Пять Мешков;Кристина Юраш;На свете существуют люди, с которыми постоянно что-то случается. Они и сами не хотели бы попадать в различные неприятные ситуации, но не могут. Видимо, такова их судьба. Примером такого человека может...;4.79 (66)
Другой мир: артефактор;Городецкий Иван;Получить второй шанс в жизни, стать могущественным, обладать красивейшими женщинами желают многие представители сильного пола. Но вот только какую цену за это им придётся заплатить? Может быть,...;4.66 (349)
Сердце дракона. Танец с врагом;Татьяна Серганова;Приключения – это то, к чему стремятся многие люди. Однако приключения бывают разные. Некоторые из них не совсем приятные. Главной героине книги Татьяны Сергановой «Сердце дракона. Танец с врагом»...;4.51 (45)
Идеальный роман;Блейк Пирс;Человек, погрязший в пороке, перестаёт быть человеком. Это суждение разделяет большинство обывателей. Но даже у человека, живущего порочно, есть права, и первое его право – право на жизнь. Этого...;4.13 (62)
